community,community_area,population,type,total22,total23,total24,total25,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Grand Boulevard,38,25000,Property,1829,2059,2092,1824,1255,1489,1393,1256,1935,5975,1991.7,22.5,30,6.1,-3,5956,5572,5024,7316,8236,8368,7296,7740,7966.8
Grand Boulevard,38,25000,Society,544,509,526,517,358,695,505,486,507,1552,517.3,-25.6,-27.1,-1.9,-2,2780,2020,1944,2176,2036,2104,2068,2028,2069.2
Kenwood,39,19000,People,559,587,630,571,424,442,421,464,607,1788,596,29.2,37.3,6.3,2,2326.3,2215.8,2442.1,2942.1,3089.5,3315.8,3005.3,3194.7,3136.8
Kenwood,39,19000,Property,1073,1247,1243,1237,825,747,631,674,1246,3727,1242.3,65.6,66.8,0.7,0,3931.6,3321.1,3547.4,5647.4,6563.2,6542.1,6510.5,6557.9,6538.4
Kenwood,39,19000,Society,196,234,223,236,153,202,166,186,231,693,231,16.8,14.4,-2.1,0,1063.2,873.7,978.9,1031.6,1231.6,1173.7,1242.1,1215.8,1215.8
Lincoln Square,4,40000,People,526,623,541,497,345,515,461,475,515,1661,553.7,-3.5,0,3.6,-7,1287.5,1152.5,1187.5,1315,1557.5,1352.5,1242.5,1287.5,1384.2
Lincoln Square,4,40000,Property,1274,1380,1272,1192,731,1097,1275,1060,1124,3844,1281.3,8.7,2.5,-5.7,-12,2742.5,3187.5,2650,3185,3450,3180,2980,2810,3203.2
Lincoln Square,4,40000,Society,226,215,223,220,151,197,152,167,222,658,219.3,11.7,12.7,0.9,1,492.5,380,417.5,565,537.5,557.5,550,555,548.2
Washington Park,40,13000,People,828,980,967,962,679,940,820,831,982,2909,969.7,2.3,4.5,2.1,1,7230.8,6307.7,6392.3,6369.2,7538.5,7438.5,7400,7553.8,7459.2
Washington Park,40,13000,Property,1054,1255,1094,1059,650,906,825,801,966,3408,1136,16.9,6.6,-8.8,-15,6969.2,6346.2,6161.5,8107.7,9653.8,8415.4,8146.2,7430.8,8738.5
Washington Park,40,13000,Society,372,354,396,427,318,499,327,332,453,1177,392.3,-14.4,-9.2,6.1,15,3838.5,2515.4,2553.8,2861.5,2723.1,3046.2,3284.6,3484.6,3017.7
Hyde Park,41,29000,People,567,587,613,544,408,489,409,520,564,1744,581.3,11.2,15.3,3.7,-3,1686.2,1410.3,1793.1,1955.2,2024.1,2113.8,1875.9,1944.8,2004.5
Hyde Park,41,29000,Property,1395,1676,1611,1806,1043,1046,889,1056,1664,5093,1697.7,72.7,59.1,-7.9,-2,3606.9,3065.5,3641.4,4810.3,5779.3,5555.2,6227.6,5737.9,5854.1
Hyde Park,41,29000,Society,176,201,202,207,187,193,172,141,248,610,203.3,7.3,28.5,19.8,22,665.5,593.1,486.2,606.9,693.1,696.6,713.8,855.2,701
Woodlawn,42,24000,People,1129,1191,1388,1299,836,1380,1152,1115,1270,3878,1292.7,-5.9,-8,-2.2,-2,5750,4800,4645.8,4704.2,4962.5,5783.3,5412.5,5291.7,5386.2
Woodlawn,42,24000,Property,1621,1996,1773,1797,1213,1437,1258,1242,1865,5566,1855.3,25.1,29.8,3.8,1,5987.5,5241.7,5175,6754.2,8316.7,7387.5,7487.5,7770.8,7730.4
Woodlawn,42,24000,Society,504,548,639,579,424,750,537,508,594,1766,588.7,-22.8,-20.8,2.6,1,3125,2237.5,2116.7,2100,2283.3,2662.5,2412.5,2475,2452.9
Rogers Park,1,55000,People,1305,1366,1353,1221,837,1219,1110,1186,1243,3940,1313.3,0.2,2,1.8,-5,2216.4,2018.2,2156.4,2372.7,2483.6,2460,2220,2260,2387.8
Rogers Park,1,55000,Property,2263,2719,2480,1998,1016,2316,1828,1815,1622,7197,2399,-13.7,-30,-18.8,-32,4210.9,3323.6,3300,4114.5,4943.6,4509.1,3632.7,2949.1,4361.8
Rogers Park,1,55000,Society,495,567,521,548,357,524,362,380,547,1636,545.3,4.6,4.4,-0.2,0,952.7,658.2,690.9,900,1030.9,947.3,996.4,994.5,991.5
Jefferson Park,11,26000,People,276,317,294,289,162,255,267,235,268,900,300,13.3,5.1,-7.3,-11,980.8,1026.9,903.8,1061.5,1219.2,1130.8,1111.5,1030.8,1153.8
Jefferson Park,11,26000,Property,665,694,608,468,299,578,611,498,457,1770,590,-19,-20.9,-2.4,-23,2223.1,2350,1915.4,2557.7,2669.2,2338.5,1800,1757.7,2269.2
Jefferson Park,11,26000,Society,146,135,148,141,111,137,120,111,157,424,141.3,2.9,14.6,11.3,11,526.9,461.5,426.9,561.5,519.2,569.2,542.3,603.8,543.5
Forest Glen,12,20000,People,101,99,97,86,63,99,115,104,91,282,94,-13.1,-8.1,5.8,-3,495,575,520,505,495,485,430,455,470
Forest Glen,12,20000,Property,450,361,378,259,148,306,379,306,228,998,332.7,-15.4,-25.5,-12,-31,1530,1895,1530,2250,1805,1890,1295,1140,1663.5
Forest Glen,12,20000,Society,67,79,70,64,39,58,60,65,69,213,71,10.3,19,7.8,-3,290,300,325,335,395,350,320,345,355
North Park,13,18000,People,292,285,339,262,155,232,206,187,227,886,295.3,12.9,-2.2,-13.4,-23,1288.9,1144.4,1038.9,1622.2,1583.3,1883.3,1455.6,1261.1,1640.6
North Park,13,18000,Property,600,544,596,603,272,458,494,434,480,1743,581,31.7,4.8,-20.4,-17,2544.4,2744.4,2411.1,3333.3,3022.2,3311.1,3350,2666.7,3227.8
North Park,13,18000,Society,102,104,113,132,71,106,78,83,110,349,116.3,24.5,3.8,-16.7,-5,588.9,433.3,461.1,566.7,577.8,627.8,733.3,611.1,646.1
Albany Park,14,48000,People,698,812,812,733,455,664,656,617,706,2357,785.7,10.4,6.3,-3.7,-10,1383.3,1366.7,1285.4,1454.2,1691.7,1691.7,1527.1,1470.8,1636.9
Albany Park,14,48000,Property,1183,1469,1339,1222,710,1234,1092,1002,1111,4030,1343.3,-1,-10,-9.1,-17,2570.8,2275,2087.5,2464.6,3060.4,2789.6,2545.8,2314.6,2798.5
Albany Park,14,48000,Society,320,296,325,399,219,323,274,247,339,1020,340,23.5,5,-15,-0,672.9,570.8,514.6,666.7,616.7,677.1,831.2,706.2,708.3
Portage Park,15,63000,People,903,972,854,791,529,968,839,860,772,2617,872.3,-18.3,-20.2,-2.4,-11,1536.5,1331.7,1365.1,1433.3,1542.9,1355.6,1255.6,1225.4,1384.6
Portage Park,15,63000,Property,1622,2039,1890,1718,1130,1545,1422,1347,1736,5647,1882.3,11.2,12.4,1,-8,2452.4,2257.1,2138.1,2574.6,3236.5,3000,2727,2755.6,2987.8
Portage Park,15,63000,Society,509,534,472,543,330,395,351,330,520,1549,516.3,37.5,31.6,-4.2,1,627,557.1,523.8,807.9,847.6,749.2,861.9,825.4,819.5
Irving Park,16,52000,People,715,825,805,647,434,734,681,672,632,2277,759,-11.9,-13.9,-2.3,-17,1411.5,1309.6,1292.3,1375,1586.5,1548.1,1244.2,1215.4,1459.6
Irving Park,16,52000,Property,1526,1660,1541,1292,843,1477,1253,1270,1298,4493,1497.7,-12.5,-12.1,0.5,-13,2840.4,2409.6,2442.3,2934.6,3192.3,2963.5,2484.6,2496.2,2880.2
Irving Park,16,52000,Society,379,349,380,373,183,331,270,293,294,1102,367.3,12.7,-11.2,-21.2,-20,636.5,519.2,563.5,728.8,671.2,730.8,717.3,565.4,706.3
Dunning,17,43000,People,435,462,504,415,294,437,379,458,437,1381,460.3,-5,0,5.3,-5,1016.3,881.4,1065.1,1011.6,1074.4,1172.1,965.1,1016.3,1070.5
Dunning,17,43000,Property,949,1053,984,744,476,683,805,839,763,2781,927,8.9,11.7,2.6,-18,1588.4,1872.1,1951.2,2207,2448.8,2288.4,1730.2,1774.4,2155.8
Dunning,17,43000,Society,238,263,226,265,143,219,189,231,226,754,251.3,21,3.2,-14.7,-10,509.3,439.5,537.2,553.5,611.6,525.6,616.3,525.6,584.4
Montclare,18,14000,People,160,175,183,177,106,186,175,157,161,535,178.3,-4.8,-13.4,-9,-10,1328.6,1250,1121.4,1142.9,1250,1307.1,1264.3,1150,1273.6
Montclare,18,14000,Property,403,445,415,408,203,284,303,264,356,1268,422.7,43.7,25.4,-12.7,-16,2028.6,2164.3,1885.7,2878.6,3178.6,2964.3,2914.3,2542.9,3019.3
Montclare,18,14000,Society,104,94,77,82,65,83,84,96,94,253,84.3,-1.2,13.3,14.6,12,592.9,600,685.7,742.9,671.4,550,585.7,671.4,602.1
Belmont Cragin,19,78000,People,1337,1621,1616,1290,899,1539,1322,1263,1298,4527,1509,-16.2,-15.7,0.6,-14,1973.1,1694.9,1619.2,1714.1,2078.2,2071.8,1653.8,1664.1,1934.6
Belmont Cragin,19,78000,Property,2049,2489,2355,2028,1419,2010,1719,1694,2144,6872,2290.7,0.9,6.7,5.7,-6,2576.9,2203.8,2171.8,2626.9,3191,3019.2,2600,2748.7,2936.8
Belmont Cragin,19,78000,Society,727,870,756,628,433,817,743,689,632,2254,751.3,-23.1,-22.6,0.6,-16,1047.4,952.6,883.3,932.1,1115.4,969.2,805.1,810.3,963.2
West Ridge,2,77000,People,1095,1175,1157,1004,697,990,951,918,1031,3336,1112,1.4,4.1,2.7,-7,1285.7,1235.1,1192.2,1422.1,1526,1502.6,1303.9,1339,1444.2
West Ridge,2,77000,Property,2475,2398,2223,1850,1056,2007,1820,1786,1724,6471,2157,-7.8,-14.1,-6.8,-20,2606.5,2363.6,2319.5,3214.3,3114.3,2887,2402.6,2239,2801.3
West Ridge,2,77000,Society,409,458,400,415,318,484,332,302,473,1273,424.3,-14.3,-2.3,14,11,628.6,431.2,392.2,531.2,594.8,519.5,539,614.3,551
Hermosa,20,24000,People,423,582,582,419,281,433,397,428,427,1583,527.7,-3.2,-1.4,1.9,-19,1804.2,1654.2,1783.3,1762.5,2425,2425,1745.8,1779.2,2198.8
Hermosa,20,24000,Property,688,799,650,583,443,596,568,612,663,2032,677.3,-2.2,11.2,13.7,-2,2483.3,2366.7,2550,2866.7,3329.2,2708.3,2429.2,2762.5,2822.1
Hermosa,20,24000,Society,217,241,234,185,126,274,218,229,181,660,220,-32.5,-33.9,-2.2,-18,1141.7,908.3,954.2,904.2,1004.2,975,770.8,754.2,916.7
Avondale,21,36000,People,602,628,619,514,320,595,546,504,492,1761,587,-13.6,-17.3,-4.3,-16,1652.8,1516.7,1400,1672.2,1744.4,1719.4,1427.8,1366.7,1630.6
Avondale,21,36000,Property,1165,1372,1547,1454,1014,1253,1062,895,1506,4373,1457.7,16,20.2,3.6,3,3480.6,2950,2486.1,3236.1,3811.1,4297.2,4038.9,4183.3,4049.2
Avondale,21,36000,Society,232,224,253,223,152,302,215,194,225,700,233.3,-26.2,-25.5,0.9,-4,838.9,597.2,538.9,644.4,622.2,702.8,619.4,625,648.1
Logan Square,22,72000,People,1041,1365,1254,1029,582,1117,976,1023,937,3648,1216,-7.9,-16.1,-8.9,-23,1551.4,1355.6,1420.8,1445.8,1895.8,1741.7,1429.2,1301.4,1688.9
Logan Square,22,72000,Property,2660,3477,3737,3037,2178,3216,2330,2147,3173,10251,3417,-5.6,-1.3,4.5,-7,4466.7,3236.1,2981.9,3694.4,4829.2,5190.3,4218.1,4406.9,4745.8
Logan Square,22,72000,Society,421,416,468,463,304,565,443,448,449,1347,449,-18.1,-20.5,-3,0,784.7,615.3,622.2,584.7,577.8,650,643.1,623.6,623.6
Humboldt Park,23,54000,People,2204,2517,2404,1985,1332,2466,2278,2125,1947,6906,2302,-19.5,-21,-1.9,-15,4566.7,4218.5,3935.2,4081.5,4661.1,4451.9,3675.9,3605.6,4263
Humboldt Park,23,54000,Property,2518,2755,2599,2269,1832,2572,2444,2273,2588,7623,2541,-11.8,0.6,14.1,2,4763,4525.9,4209.3,4663,5101.9,4813,4201.9,4792.6,4705.6
Humboldt Park,23,54000,Society,1435,1725,2049,1907,1074,2984,1927,1680,1517,5681,1893.7,-36.1,-49.2,-20.5,-20,5525.9,3568.5,3111.1,2657.4,3194.4,3794.4,3531.5,2809.3,3506.9
West Town,24,88000,People,1691,1953,1785,1465,961,1746,1285,1556,1430,5203,1734.3,-16.1,-18.1,-2.4,-18,1984.1,1460.2,1768.2,1921.6,2219.3,2028.4,1664.8,1625,1970.8
West Town,24,88000,Property,4887,5428,5563,4808,3440,4919,3526,3565,5081,15799,5266.3,-2.3,3.3,5.7,-4,5589.8,4006.8,4051.1,5553.4,6168.2,6321.6,5463.6,5773.9,5984.4
West Town,24,88000,Society,687,643,663,613,435,645,471,533,637,1919,639.7,-5,-1.2,3.9,-0,733,535.2,605.7,780.7,730.7,753.4,696.6,723.9,726.9
Austin,25,97000,People,4391,4818,5093,4410,3033,5709,5356,4670,4453,14321,4773.7,-22.8,-22,1,-7,5885.6,5521.6,4814.4,4526.8,4967,5250.5,4546.4,4590.7,4921.3
Austin,25,97000,Property,5639,5588,5430,4953,3318,5689,5027,4733,4818,15971,5323.7,-12.9,-15.3,-2.7,-9,5864.9,5182.5,4879.4,5813.4,5760.8,5597.9,5106.2,4967,5488.4
Austin,25,97000,Society,2267,2296,2434,2439,1536,3386,2377,2291,2212,7169,2389.7,-28,-34.7,-9.3,-7,3490.7,2450.5,2361.9,2337.1,2367,2509.3,2514.4,2280.4,2463.6
West Garfield Park,26,17000,People,1428,1535,1451,1336,792,1901,1820,1563,1208,4322,1440.7,-29.7,-36.5,-9.6,-16,11182.4,10705.9,9194.1,8400,9029.4,8535.3,7858.8,7105.9,8474.7
West Garfield Park,26,17000,Property,1401,1412,1221,1100,788,1555,1485,1309,1168,3733,1244.3,-29.3,-24.9,6.2,-6,9147.1,8735.3,7700,8241.2,8305.9,7182.4,6470.6,6870.6,7319.4
West Garfield Park,26,17000,Society,1199,1064,1106,880,748,2774,1673,1450,991,3050,1016.7,-68.3,-64.3,12.6,-3,16317.6,9841.2,8529.4,7052.9,6258.8,6505.9,5176.5,5829.4,5980.6
East Garfield Park,27,20000,People,1411,1668,1616,1411,832,1739,1438,1478,1278,4695,1565,-18.9,-26.5,-9.4,-18,8695,7190,7390,7055,8340,8080,7055,6390,7825
East Garfield Park,27,20000,Property,1661,1830,1470,1343,1015,1568,1340,1343,1459,4643,1547.7,-14.3,-7,8.6,-6,7840,6700,6715,8305,9150,7350,6715,7295,7738.5
East Garfield Park,27,20000,Society,734,738,785,1024,453,1356,962,908,817,2547,849,-24.5,-39.7,-20.2,-4,6780,4810,4540,3670,3690,3925,5120,4085,4245
Near West Side,28,68000,People,2411,2892,3059,2818,1786,2472,1897,2109,2734,8769,2923,14,10.6,-3,-6,3635.3,2789.7,3101.5,3545.6,4252.9,4498.5,4144.1,4020.6,4298.5
Near West Side,28,68000,Property,6076,6402,6637,6221,4305,5623,3818,4056,6396,19260,6420,10.6,13.7,2.8,-0,8269.1,5614.7,5964.7,8935.3,9414.7,9760.3,9148.5,9405.9,9441.2
Near West Side,28,68000,Society,1055,1130,1283,1285,923,1277,804,768,1341,3698,1232.7,0.6,5,4.4,9,1877.9,1182.4,1129.4,1551.5,1661.8,1886.8,1889.7,1972.1,1812.8
North Lawndale,29,35000,People,2532,2781,2833,2366,1546,3033,2956,2555,2316,7980,2660,-22,-23.6,-2.1,-13,8665.7,8445.7,7300,7234.3,7945.7,8094.3,6760,6617.1,7600
North Lawndale,29,35000,Property,2653,2831,2381,2038,1425,2565,2350,2345,2145,7250,2416.7,-20.5,-16.4,5.3,-11,7328.6,6714.3,6700,7580,8088.6,6802.9,5822.9,6128.6,6904.9
North Lawndale,29,35000,Society,1594,1541,1402,2014,1047,3423,1916,1764,1603,4957,1652.3,-41.2,-53.2,-20.4,-3,9780,5474.3,5040,4554.3,4402.9,4005.7,5754.3,4580,4720.9
Uptown,3,57000,People,1154,1412,1428,1345,795,1096,940,1158,1205,4185,1395,22.7,9.9,-10.4,-14,1922.8,1649.1,2031.6,2024.6,2477.2,2505.3,2359.6,2114,2447.4
Uptown,3,57000,Property,2343,2737,2640,2421,1610,1852,1716,1691,2415,7798,2599.3,30.7,30.4,-0.2,-7,3249.1,3010.5,2966.7,4110.5,4801.8,4631.6,4247.4,4236.8,4560.2
Uptown,3,57000,Society,390,464,436,404,307,424,304,366,437,1304,434.7,-4.7,3.1,8.2,1,743.9,533.3,642.1,684.2,814,764.9,708.8,766.7,762.6
South Lawndale,30,71000,People,1545,1781,1856,1461,901,1618,1414,1391,1365,5098,1699.3,-9.7,-15.6,-6.6,-20,2278.9,1991.5,1959.2,2176.1,2508.5,2614.1,2057.7,1922.5,2393.4
South Lawndale,30,71000,Property,1601,1918,1717,1459,1022,1756,1402,1382,1520,5094,1698,-16.9,-13.4,4.2,-10,2473.2,1974.6,1946.5,2254.9,2701.4,2418.3,2054.9,2140.8,2391.5
South Lawndale,30,71000,Society,703,751,699,814,433,1079,766,553,671,2264,754.7,-24.6,-37.8,-17.6,-11,1519.7,1078.9,778.9,990.1,1057.7,984.5,1146.5,945.1,1063
Lower West Side,31,34000,People,919,1068,1085,941,591,783,681,817,924,3094,1031.3,20.2,18,-1.8,-10,2302.9,2002.9,2402.9,2702.9,3141.2,3191.2,2767.6,2717.6,3033.2
Lower West Side,31,34000,Property,1598,1632,1660,1404,1018,1174,1048,1129,1501,4696,1565.3,19.6,27.9,6.9,-4,3452.9,3082.4,3320.6,4700,4800,4882.4,4129.4,4414.7,4603.8
Lower West Side,31,34000,Society,351,379,431,332,241,386,316,274,355,1142,380.7,-14,-8,6.9,-7,1135.3,929.4,805.9,1032.4,1114.7,1267.6,976.5,1044.1,1119.7
Near South Side,33,29000,People,717,731,772,655,459,544,436,635,662,2158,719.3,20.4,21.7,1.1,-8,1875.9,1503.4,2189.7,2472.4,2520.7,2662.1,2258.6,2282.8,2480.3
Near South Side,33,29000,Property,1493,1657,1539,1268,781,1089,958,937,1197,4464,1488,16.4,9.9,-5.6,-20,3755.2,3303.4,3231,5148.3,5713.8,5306.9,4372.4,4127.6,5131
Near South Side,33,29000,Society,321,335,431,513,277,240,224,263,413,1279,426.3,113.8,72.1,-19.5,-3,827.6,772.4,906.9,1106.9,1155.2,1486.2,1769,1424.1,1470
Armour Square,34,14000,People,416,365,392,377,241,342,305,353,363,1134,378,10.2,6.1,-3.7,-4,2442.9,2178.6,2521.4,2971.4,2607.1,2800,2692.9,2592.9,2700
Armour Square,34,14000,Property,592,689,589,655,531,570,447,490,773,1933,644.3,14.9,35.6,18,20,4071.4,3192.9,3500,4228.6,4921.4,4207.1,4678.6,5521.4,4602.1
Armour Square,34,14000,Society,145,94,124,127,68,114,97,85,106,345,115,11.4,-7,-16.5,-8,814.3,692.9,607.1,1035.7,671.4,885.7,907.1,757.1,821.4
Norwood Park,10,38000,People,323,331,304,273,193,314,213,299,276,908,302.7,-13.1,-12.1,1.1,-9,826.3,560.5,786.8,850,871.1,800,718.4,726.3,796.6
Norwood Park,10,38000,Property,791,749,807,688,384,684,702,740,602,2244,748,0.6,-12,-12.5,-20,1800,1847.4,1947.4,2081.6,1971.1,2123.7,1810.5,1584.2,1968.4
Norwood Park,10,38000,Society,165,204,158,170,103,167,119,160,160,532,177.3,1.8,-4.2,-5.9,-10,439.5,313.2,421.1,434.2,536.8,415.8,447.4,421.1,466.6
Near North Side,8,105000,People,2666,2773,2820,2695,1680,2847,1721,2372,2513,8288,2762.7,-5.3,-11.7,-6.8,-9,2711.4,1639,2259,2539,2641,2685.7,2566.7,2393.3,2631.1
Near North Side,8,105000,Property,6834,7078,7194,7263,4515,8606,4712,4931,7029,21535,7178.3,-15.6,-18.3,-3.2,-2,8196.2,4487.6,4696.2,6508.6,6741,6851.4,6917.1,6694.3,6836.5
Near North Side,8,105000,Society,1155,1348,1427,1208,711,1146,874,1072,1100,3983,1327.7,5.4,-4,-8.9,-17,1091.4,832.4,1021,1100,1283.8,1359,1150.5,1047.6,1264.5
Loop,32,42000,People,1936,2084,2072,1957,1275,1893,1211,1538,1946,6113,2037.7,3.4,2.8,-0.6,-5,4507.1,2883.3,3661.9,4609.5,4961.9,4933.3,4659.5,4633.3,4851.7
Loop,32,42000,Property,5379,5752,5985,5281,3359,7799,3260,3438,5097,17018,5672.7,-32.3,-34.6,-3.5,-10,18569,7761.9,8185.7,12807.1,13695.2,14250,12573.8,12135.7,13506.4
Loop,32,42000,Society,753,974,1272,1343,656,912,642,617,1062,3589,1196.3,47.3,16.4,-20.9,-11,2171.4,1528.6,1469,1792.9,2319,3028.6,3197.6,2528.6,2848.3
South Shore,43,54000,People,3058,3167,3363,3177,2101,3310,3170,3174,3089,9707,3235.7,-4,-6.7,-2.8,-5,6129.6,5870.4,5877.8,5663,5864.8,6227.8,5883.3,5720.4,5992
South Shore,43,54000,Property,4162,4486,3965,3755,2593,3659,3434,3167,3864,12206,4068.7,2.6,5.6,2.9,-5,6775.9,6359.3,5864.8,7707.4,8307.4,7342.6,6953.7,7155.6,7534.6
South Shore,43,54000,Society,1120,1140,1198,1191,843,1724,1217,1110,1256,3529,1176.3,-30.9,-27.1,5.5,7,3192.6,2253.7,2055.6,2074.1,2111.1,2218.5,2205.6,2325.9,2178.3
Chatham,44,32000,People,2135,2258,2216,1891,1305,2482,2071,2087,1934,6365,2121.7,-23.8,-22.1,2.3,-9,7756.3,6471.9,6521.9,6671.9,7056.2,6925,5909.4,6043.8,6630.3
Chatham,44,32000,Property,3189,3184,2747,2657,1509,3064,2453,2479,2339,8588,2862.7,-13.3,-23.7,-12,-18,9575,7665.6,7746.9,9965.6,9950,8584.4,8303.1,7309.4,8945.9
Chatham,44,32000,Society,769,948,903,818,544,1262,932,792,794,2669,889.7,-35.2,-37.1,-2.9,-11,3943.8,2912.5,2475,2403.1,2962.5,2821.9,2556.2,2481.2,2780.3
Avalon Park,45,9000,People,360,402,385,359,260,434,390,432,380,1146,382,-17.3,-12.4,5.8,-1,4822.2,4333.3,4800,4000,4466.7,4277.8,3988.9,4222.2,4244.4
Avalon Park,45,9000,Property,635,640,584,559,370,539,559,465,560,1783,594.3,3.7,3.9,0.2,-6,5988.9,6211.1,5166.7,7055.6,7111.1,6488.9,6211.1,6222.2,6603.3
Avalon Park,45,9000,Society,185,157,159,137,89,333,255,228,134,453,151,-58.9,-59.8,-2.2,-11,3700,2833.3,2533.3,2055.6,1744.4,1766.7,1522.2,1488.9,1677.8
South Chicago,46,27000,People,1657,1635,1532,1337,947,1614,1325,1544,1370,4504,1501.3,-17.2,-15.1,2.5,-9,5977.8,4907.4,5718.5,6137,6055.6,5674.1,4951.9,5074.1,5560.4
South Chicago,46,27000,Property,2071,2144,1785,1784,1116,1590,1467,1563,1639,5713,1904.3,12.2,3.1,-8.1,-14,5888.9,5433.3,5788.9,7670.4,7940.7,6611.1,6607.4,6070.4,7053
South Chicago,46,27000,Society,682,611,602,609,374,1061,615,576,597,1822,607.3,-42.6,-43.7,-2,-2,3929.6,2277.8,2133.3,2525.9,2263,2229.6,2255.6,2211.1,2249.3
Burnside,47,3000,People,106,97,106,96,59,133,115,141,83,299,99.7,-27.8,-37.6,-13.5,-17,4433.3,3833.3,4700,3533.3,3233.3,3533.3,3200,2766.7,3323.3
Burnside,47,3000,Property,193,173,129,119,92,133,164,143,124,421,140.3,-10.5,-6.8,4.2,-12,4433.3,5466.7,4766.7,6433.3,5766.7,4300,3966.7,4133.3,4676.7
Burnside,47,3000,Society,51,71,63,37,34,109,70,45,45,171,57,-66.1,-58.7,21.6,-21,3633.3,2333.3,1500,1700,2366.7,2100,1233.3,1500,1900
Mckinley Park,59,16000,People,289,319,302,255,193,197,239,248,278,876,292,29.4,41.1,9,-5,1231.2,1493.8,1550,1806.2,1993.8,1887.5,1593.8,1737.5,1825
Mckinley Park,59,16000,Property,466,551,613,556,378,498,398,363,590,1720,573.3,11.6,18.5,6.1,3,3112.5,2487.5,2268.8,2912.5,3443.8,3831.2,3475,3687.5,3583.1
Mckinley Park,59,16000,Society,117,100,110,131,76,134,116,102,120,341,113.7,-2.2,-10.4,-8.4,6,837.5,725,637.5,731.2,625,687.5,818.8,750,710.6
Lake View,6,103000,People,1390,1413,1532,1362,879,1380,886,1241,1308,4307,1435.7,-1.3,-5.2,-4,-9,1339.8,860.2,1204.9,1349.5,1371.8,1487.4,1322.3,1269.9,1393.9
Lake View,6,103000,Property,4005,4659,4754,4142,2778,4074,3035,3128,4138,13555,4518.3,1.7,1.6,-0.1,-8,3955.3,2946.6,3036.9,3888.3,4523.3,4615.5,4021.4,4017.5,4386.7
Lake View,6,103000,Society,482,497,546,520,374,537,382,396,534,1563,521,-3.2,-0.6,2.7,2,521.4,370.9,384.5,468,482.5,530.1,504.9,518.4,505.8
Calumet Heights,48,13000,People,405,490,415,410,270,446,412,496,400,1315,438.3,-8.1,-10.3,-2.4,-9,3430.8,3169.2,3815.4,3115.4,3769.2,3192.3,3153.8,3076.9,3371.5
Calumet Heights,48,13000,Property,733,868,739,773,438,655,658,600,653,2380,793.3,18,-0.3,-15.5,-18,5038.5,5061.5,4615.4,5638.5,6676.9,5684.6,5946.2,5023.1,6102.3
Calumet Heights,48,13000,Society,202,187,195,151,125,332,221,230,182,533,177.7,-54.5,-45.2,20.5,2,2553.8,1700,1769.2,1553.8,1438.5,1500,1161.5,1400,1366.9
Roseland,49,39000,People,2057,2138,1994,1858,1159,2305,2196,2071,1762,5990,1996.7,-19.4,-23.6,-5.2,-12,5910.3,5630.8,5310.3,5274.4,5482.1,5112.8,4764.1,4517.9,5119.7
Roseland,49,39000,Property,2897,2941,2632,2421,1443,2631,2683,2274,2246,7994,2664.7,-8,-14.6,-7.2,-16,6746.2,6879.5,5830.8,7428.2,7541,6748.7,6207.7,5759,6832.6
