community,community_area,population,type,total22,total23,total24,total25,total26,total19,total20,total21,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Lincoln Square,4,40000,People,526,623,541,497,360,515,461,475,516,1661,553.7,-3.5,0.2,3.8,-7,1287.5,1152.5,1187.5,1315,1557.5,1352.5,1242.5,1290,1384.2
Lincoln Square,4,40000,Property,1274,1380,1271,1193,759,1097,1275,1060,1113,3844,1281.3,8.8,1.5,-6.7,-13,2742.5,3187.5,2650,3185,3450,3177.5,2982.5,2782.5,3203.2
Lincoln Square,4,40000,Society,226,215,223,220,156,197,152,167,224,658,219.3,11.7,13.7,1.8,2,492.5,380,417.5,565,537.5,557.5,550,560,548.2
Washington Park,40,13000,People,828,980,967,962,708,940,820,831,984,2909,969.7,2.3,4.7,2.3,1,7230.8,6307.7,6392.3,6369.2,7538.5,7438.5,7400,7569.2,7459.2
Washington Park,40,13000,Property,1054,1255,1094,1059,668,906,825,801,956,3408,1136,16.9,5.5,-9.7,-16,6969.2,6346.2,6161.5,8107.7,9653.8,8415.4,8146.2,7353.8,8738.5
Washington Park,40,13000,Society,372,354,396,427,331,499,327,332,448,1177,392.3,-14.4,-10.2,4.9,14,3838.5,2515.4,2553.8,2861.5,2723.1,3046.2,3284.6,3446.2,3017.7
Hyde Park,41,29000,People,567,587,613,544,423,489,409,520,567,1744,581.3,11.2,16,4.2,-2,1686.2,1410.3,1793.1,1955.2,2024.1,2113.8,1875.9,1955.2,2004.5
Hyde Park,41,29000,Property,1395,1676,1611,1806,1087,1046,889,1056,1660,5093,1697.7,72.7,58.7,-8.1,-2,3606.9,3065.5,3641.4,4810.3,5779.3,5555.2,6227.6,5724.1,5854.1
Hyde Park,41,29000,Society,176,201,203,207,194,193,172,141,248,611,203.7,7.3,28.5,19.8,22,665.5,593.1,486.2,606.9,693.1,700,713.8,855.2,702.4
Woodlawn,42,24000,People,1129,1191,1388,1300,871,1380,1152,1115,1275,3879,1293,-5.8,-7.6,-1.9,-1,5750,4800,4645.8,4704.2,4962.5,5783.3,5416.7,5312.5,5387.5
Woodlawn,42,24000,Property,1621,1996,1773,1798,1260,1437,1258,1242,1851,5567,1855.7,25.1,28.8,2.9,-0,5987.5,5241.7,5175,6754.2,8316.7,7387.5,7491.7,7712.5,7732.1
Woodlawn,42,24000,Society,504,548,639,579,447,750,537,508,606,1766,588.7,-22.8,-19.2,4.7,3,3125,2237.5,2116.7,2100,2283.3,2662.5,2412.5,2525,2452.9
Rogers Park,1,55000,People,1305,1366,1353,1222,889,1219,1110,1186,1259,3941,1313.7,0.2,3.3,3,-4,2216.4,2018.2,2156.4,2372.7,2483.6,2460,2221.8,2289.1,2388.5
Rogers Park,1,55000,Property,2263,2719,2480,1998,1065,2316,1828,1815,1613,7197,2399,-13.7,-30.4,-19.3,-33,4210.9,3323.6,3300,4114.5,4943.6,4509.1,3632.7,2932.7,4361.8
Rogers Park,1,55000,Society,495,567,521,548,372,524,362,380,552,1636,545.3,4.6,5.3,0.7,1,952.7,658.2,690.9,900,1030.9,947.3,996.4,1003.6,991.5
Jefferson Park,11,26000,People,276,317,294,289,174,255,267,235,273,900,300,13.3,7.1,-5.5,-9,980.8,1026.9,903.8,1061.5,1219.2,1130.8,1111.5,1050,1153.8
Jefferson Park,11,26000,Property,665,694,608,468,311,578,611,498,460,1770,590,-19,-20.4,-1.7,-22,2223.1,2350,1915.4,2557.7,2669.2,2338.5,1800,1769.2,2269.2
Jefferson Park,11,26000,Society,146,135,148,141,117,137,120,111,162,424,141.3,2.9,18.2,14.9,15,526.9,461.5,426.9,561.5,519.2,569.2,542.3,623.1,543.5
Forest Glen,12,20000,People,101,99,97,86,65,99,115,104,92,282,94,-13.1,-7.1,7,-2,495,575,520,505,495,485,430,460,470
Forest Glen,12,20000,Property,450,361,378,259,156,306,379,306,223,998,332.7,-15.4,-27.1,-13.9,-33,1530,1895,1530,2250,1805,1890,1295,1115,1663.5
Forest Glen,12,20000,Society,67,79,70,64,42,58,60,65,71,213,71,10.3,22.4,10.9,0,290,300,325,335,395,350,320,355,355
North Park,13,18000,People,292,285,339,262,155,232,206,187,217,886,295.3,12.9,-6.5,-17.2,-27,1288.9,1144.4,1038.9,1622.2,1583.3,1883.3,1455.6,1205.6,1640.6
North Park,13,18000,Property,600,544,596,604,282,458,494,434,478,1744,581.3,31.9,4.4,-20.9,-18,2544.4,2744.4,2411.1,3333.3,3022.2,3311.1,3355.6,2655.6,3229.4
North Park,13,18000,Society,102,104,113,132,74,106,78,83,109,349,116.3,24.5,2.8,-17.4,-6,588.9,433.3,461.1,566.7,577.8,627.8,733.3,605.6,646.1
Albany Park,14,48000,People,698,812,812,734,480,664,656,617,710,2358,786,10.5,6.9,-3.3,-10,1383.3,1366.7,1285.4,1454.2,1691.7,1691.7,1529.2,1479.2,1637.5
Albany Park,14,48000,Property,1183,1469,1339,1222,731,1234,1092,1002,1102,4030,1343.3,-1,-10.7,-9.8,-18,2570.8,2275,2087.5,2464.6,3060.4,2789.6,2545.8,2295.8,2798.5
Albany Park,14,48000,Society,320,296,325,399,236,323,274,247,351,1020,340,23.5,8.7,-12,3,672.9,570.8,514.6,666.7,616.7,677.1,831.2,731.2,708.3
Portage Park,15,63000,People,903,972,854,791,549,968,839,860,763,2617,872.3,-18.3,-21.2,-3.5,-13,1536.5,1331.7,1365.1,1433.3,1542.9,1355.6,1255.6,1211.1,1384.6
Portage Park,15,63000,Property,1622,2039,1890,1718,1164,1545,1422,1347,1715,5647,1882.3,11.2,11,-0.2,-9,2452.4,2257.1,2138.1,2574.6,3236.5,3000,2727,2722.2,2987.8
Portage Park,15,63000,Society,509,534,472,543,345,395,351,330,519,1549,516.3,37.5,31.4,-4.4,1,627,557.1,523.8,807.9,847.6,749.2,861.9,823.8,819.5
Irving Park,16,52000,People,715,825,806,647,453,734,681,672,637,2278,759.3,-11.9,-13.2,-1.5,-16,1411.5,1309.6,1292.3,1375,1586.5,1550,1244.2,1225,1460.2
Irving Park,16,52000,Property,1526,1660,1541,1292,867,1477,1253,1270,1270,4493,1497.7,-12.5,-14,-1.7,-15,2840.4,2409.6,2442.3,2934.6,3192.3,2963.5,2484.6,2442.3,2880.2
Irving Park,16,52000,Society,379,349,380,373,193,331,270,293,293,1102,367.3,12.7,-11.5,-21.4,-20,636.5,519.2,563.5,728.8,671.2,730.8,717.3,563.5,706.3
Dunning,17,43000,People,435,462,504,415,307,437,379,458,441,1381,460.3,-5,0.9,6.3,-4,1016.3,881.4,1065.1,1011.6,1074.4,1172.1,965.1,1025.6,1070.5
Dunning,17,43000,Property,949,1053,984,744,488,683,805,839,758,2781,927,8.9,11,1.9,-18,1588.4,1872.1,1951.2,2207,2448.8,2288.4,1730.2,1762.8,2155.8
Dunning,17,43000,Society,238,263,226,265,147,219,189,231,222,754,251.3,21,1.4,-16.2,-12,509.3,439.5,537.2,553.5,611.6,525.6,616.3,516.3,584.4
Montclare,18,14000,People,160,175,183,177,109,186,175,157,159,535,178.3,-4.8,-14.5,-10.2,-11,1328.6,1250,1121.4,1142.9,1250,1307.1,1264.3,1135.7,1273.6
Montclare,18,14000,Property,403,445,415,408,212,284,303,264,348,1268,422.7,43.7,22.5,-14.7,-18,2028.6,2164.3,1885.7,2878.6,3178.6,2964.3,2914.3,2485.7,3019.3
Montclare,18,14000,Society,104,94,77,82,67,83,84,96,95,253,84.3,-1.2,14.5,15.9,13,592.9,600,685.7,742.9,671.4,550,585.7,678.6,602.1
Belmont Cragin,19,78000,People,1337,1621,1616,1289,934,1539,1322,1263,1292,4526,1508.7,-16.2,-16,0.2,-14,1973.1,1694.9,1619.2,1714.1,2078.2,2071.8,1652.6,1656.4,1934.2
Belmont Cragin,19,78000,Property,2049,2489,2355,2028,1476,2010,1719,1694,2154,6872,2290.7,0.9,7.2,6.2,-6,2576.9,2203.8,2171.8,2626.9,3191,3019.2,2600,2761.5,2936.8
Belmont Cragin,19,78000,Society,727,870,756,628,450,817,743,689,636,2254,751.3,-23.1,-22.2,1.3,-15,1047.4,952.6,883.3,932.1,1115.4,969.2,805.1,815.4,963.2
West Ridge,2,77000,People,1095,1175,1158,1004,729,990,951,918,1030,3337,1112.3,1.4,4,2.6,-7,1285.7,1235.1,1192.2,1422.1,1526,1503.9,1303.9,1337.7,1444.5
West Ridge,2,77000,Property,2475,2398,2223,1851,1089,2007,1820,1786,1700,6472,2157.3,-7.8,-15.3,-8.2,-21,2606.5,2363.6,2319.5,3214.3,3114.3,2887,2403.9,2207.8,2801.7
West Ridge,2,77000,Society,409,458,400,415,330,484,332,302,474,1273,424.3,-14.3,-2.1,14.2,12,628.6,431.2,392.2,531.2,594.8,519.5,539,615.6,551
Hermosa,20,24000,People,423,582,581,420,292,433,397,428,424,1583,527.7,-3,-2.1,1,-20,1804.2,1654.2,1783.3,1762.5,2425,2420.8,1750,1766.7,2198.8
Hermosa,20,24000,Property,688,799,650,583,460,596,568,612,670,2032,677.3,-2.2,12.4,14.9,-1,2483.3,2366.7,2550,2866.7,3329.2,2708.3,2429.2,2791.7,2822.1
Hermosa,20,24000,Society,217,241,234,185,129,274,218,229,180,660,220,-32.5,-34.3,-2.7,-18,1141.7,908.3,954.2,904.2,1004.2,975,770.8,750,916.7
Avondale,21,36000,People,602,628,619,514,338,595,546,504,497,1761,587,-13.6,-16.5,-3.3,-15,1652.8,1516.7,1400,1672.2,1744.4,1719.4,1427.8,1380.6,1630.6
Avondale,21,36000,Property,1165,1372,1547,1454,1048,1253,1062,895,1508,4373,1457.7,16,20.4,3.7,3,3480.6,2950,2486.1,3236.1,3811.1,4297.2,4038.9,4188.9,4049.2
Avondale,21,36000,Society,232,224,253,223,157,302,215,194,224,700,233.3,-26.2,-25.8,0.4,-4,838.9,597.2,538.9,644.4,622.2,702.8,619.4,622.2,648.1
Logan Square,22,72000,People,1041,1365,1254,1031,620,1117,976,1023,955,3650,1216.7,-7.7,-14.5,-7.4,-22,1551.4,1355.6,1420.8,1445.8,1895.8,1741.7,1431.9,1326.4,1689.9
Logan Square,22,72000,Property,2660,3477,3737,3038,2268,3216,2330,2147,3192,10252,3417.3,-5.5,-0.7,5.1,-7,4466.7,3236.1,2981.9,3694.4,4829.2,5190.3,4219.4,4433.3,4746.3
Logan Square,22,72000,Society,421,416,468,463,316,565,443,448,446,1347,449,-18.1,-21.1,-3.7,-1,784.7,615.3,622.2,584.7,577.8,650,643.1,619.4,623.6
Humboldt Park,23,54000,People,2204,2518,2403,1985,1374,2466,2278,2125,1919,6906,2302,-19.5,-22.2,-3.3,-17,4566.7,4218.5,3935.2,4081.5,4663,4450,3675.9,3553.7,4263
Humboldt Park,23,54000,Property,2518,2755,2599,2269,1894,2572,2444,2273,2585,7623,2541,-11.8,0.5,13.9,2,4763,4525.9,4209.3,4663,5101.9,4813,4201.9,4787,4705.6
Humboldt Park,23,54000,Society,1435,1725,2049,1907,1099,2984,1927,1680,1505,5681,1893.7,-36.1,-49.6,-21.1,-21,5525.9,3568.5,3111.1,2657.4,3194.4,3794.4,3531.5,2787,3506.9
West Town,24,88000,People,1691,1953,1785,1465,996,1746,1285,1556,1417,5203,1734.3,-16.1,-18.8,-3.3,-18,1984.1,1460.2,1768.2,1921.6,2219.3,2028.4,1664.8,1610.2,1970.8
West Town,24,88000,Property,4887,5428,5563,4808,3571,4919,3526,3565,5108,15799,5266.3,-2.3,3.8,6.2,-3,5589.8,4006.8,4051.1,5553.4,6168.2,6321.6,5463.6,5804.5,5984.4
West Town,24,88000,Society,687,643,663,613,456,645,471,533,642,1919,639.7,-5,-0.5,4.7,0,733,535.2,605.7,780.7,730.7,753.4,696.6,729.5,726.9
Austin,25,97000,People,4391,4816,5093,4412,3137,5709,5356,4670,4460,14321,4773.7,-22.7,-21.9,1.1,-7,5885.6,5521.6,4814.4,4526.8,4964.9,5250.5,4548.5,4597.9,4921.3
Austin,25,97000,Property,5639,5588,5430,4953,3440,5689,5027,4733,4832,15971,5323.7,-12.9,-15.1,-2.4,-9,5864.9,5182.5,4879.4,5813.4,5760.8,5597.9,5106.2,4981.4,5488.4
Austin,25,97000,Society,2267,2296,2434,2440,1598,3386,2377,2291,2226,7170,2390,-27.9,-34.3,-8.8,-7,3490.7,2450.5,2361.9,2337.1,2367,2509.3,2515.5,2294.8,2463.9
West Garfield Park,26,17000,People,1428,1535,1451,1336,836,1901,1820,1563,1212,4322,1440.7,-29.7,-36.2,-9.3,-16,11182.4,10705.9,9194.1,8400,9029.4,8535.3,7858.8,7129.4,8474.7
West Garfield Park,26,17000,Property,1401,1412,1221,1100,825,1555,1485,1309,1172,3733,1244.3,-29.3,-24.6,6.5,-6,9147.1,8735.3,7700,8241.2,8305.9,7182.4,6470.6,6894.1,7319.4
West Garfield Park,26,17000,Society,1199,1064,1106,880,776,2774,1673,1450,992,3050,1016.7,-68.3,-64.2,12.7,-2,16317.6,9841.2,8529.4,7052.9,6258.8,6505.9,5176.5,5835.3,5980.6
East Garfield Park,27,20000,People,1411,1668,1616,1411,871,1739,1438,1478,1286,4695,1565,-18.9,-26,-8.9,-18,8695,7190,7390,7055,8340,8080,7055,6430,7825
East Garfield Park,27,20000,Property,1662,1830,1470,1343,1050,1568,1340,1343,1461,4643,1547.7,-14.3,-6.8,8.8,-6,7840,6700,6715,8310,9150,7350,6715,7305,7738.5
East Garfield Park,27,20000,Society,734,738,785,1024,479,1356,962,908,818,2547,849,-24.5,-39.7,-20.1,-4,6780,4810,4540,3670,3690,3925,5120,4090,4245
Near West Side,28,68000,People,2411,2892,3059,2818,1863,2472,1897,2109,2729,8769,2923,14,10.4,-3.2,-7,3635.3,2789.7,3101.5,3545.6,4252.9,4498.5,4144.1,4013.2,4298.5
Near West Side,28,68000,Property,6076,6402,6637,6222,4443,5623,3818,4056,6383,19261,6420.3,10.7,13.5,2.6,-1,8269.1,5614.7,5964.7,8935.3,9414.7,9760.3,9150,9386.8,9441.6
Near West Side,28,68000,Society,1055,1130,1283,1285,953,1277,804,768,1336,3698,1232.7,0.6,4.6,4,8,1877.9,1182.4,1129.4,1551.5,1661.8,1886.8,1889.7,1964.7,1812.8
North Lawndale,29,35000,People,2532,2780,2833,2366,1611,3033,2956,2555,2323,7979,2659.7,-22,-23.4,-1.8,-13,8665.7,8445.7,7300,7234.3,7942.9,8094.3,6760,6637.1,7599.1
North Lawndale,29,35000,Property,2653,2831,2381,2038,1469,2565,2350,2345,2149,7250,2416.7,-20.5,-16.2,5.4,-11,7328.6,6714.3,6700,7580,8088.6,6802.9,5822.9,6140,6904.9
North Lawndale,29,35000,Society,1594,1540,1402,2014,1088,3423,1916,1764,1598,4956,1652,-41.2,-53.3,-20.7,-3,9780,5474.3,5040,4554.3,4400,4005.7,5754.3,4565.7,4720
Uptown,3,57000,People,1154,1412,1428,1345,830,1096,940,1158,1206,4185,1395,22.7,10,-10.3,-14,1922.8,1649.1,2031.6,2024.6,2477.2,2505.3,2359.6,2115.8,2447.4
Uptown,3,57000,Property,2343,2737,2640,2421,1691,1852,1716,1691,2437,7798,2599.3,30.7,31.6,0.7,-6,3249.1,3010.5,2966.7,4110.5,4801.8,4631.6,4247.4,4275.4,4560.2
Uptown,3,57000,Society,390,464,436,404,328,424,304,366,443,1304,434.7,-4.7,4.5,9.7,2,743.9,533.3,642.1,684.2,814,764.9,708.8,777.2,762.6
South Lawndale,30,71000,People,1545,1781,1856,1461,932,1618,1414,1391,1364,5098,1699.3,-9.7,-15.7,-6.6,-20,2278.9,1991.5,1959.2,2176.1,2508.5,2614.1,2057.7,1921.1,2393.4
South Lawndale,30,71000,Property,1601,1919,1718,1460,1062,1756,1402,1382,1512,5097,1699,-16.9,-13.9,3.6,-11,2473.2,1974.6,1946.5,2254.9,2702.8,2419.7,2056.3,2129.6,2393
South Lawndale,30,71000,Society,703,751,699,814,453,1079,766,553,679,2264,754.7,-24.6,-37.1,-16.6,-10,1519.7,1078.9,778.9,990.1,1057.7,984.5,1146.5,956.3,1063
Lower West Side,31,34000,People,919,1068,1085,941,607,783,681,817,917,3094,1031.3,20.2,17.1,-2.6,-11,2302.9,2002.9,2402.9,2702.9,3141.2,3191.2,2767.6,2697.1,3033.2
Lower West Side,31,34000,Property,1598,1632,1661,1404,1056,1174,1048,1129,1511,4697,1565.7,19.6,28.7,7.6,-3,3452.9,3082.4,3320.6,4700,4800,4885.3,4129.4,4444.1,4605
Lower West Side,31,34000,Society,351,379,431,332,247,386,316,274,355,1142,380.7,-14,-8,6.9,-7,1135.3,929.4,805.9,1032.4,1114.7,1267.6,976.5,1044.1,1119.7
Near South Side,33,29000,People,717,731,772,655,480,544,436,635,659,2158,719.3,20.4,21.1,0.6,-8,1875.9,1503.4,2189.7,2472.4,2520.7,2662.1,2258.6,2272.4,2480.3
Near South Side,33,29000,Property,1493,1657,1539,1268,818,1089,958,937,1197,4464,1488,16.4,9.9,-5.6,-20,3755.2,3303.4,3231,5148.3,5713.8,5306.9,4372.4,4127.6,5131
Near South Side,33,29000,Society,321,335,431,513,286,240,224,263,408,1279,426.3,113.8,70,-20.5,-4,827.6,772.4,906.9,1106.9,1155.2,1486.2,1769,1406.9,1470
Armour Square,34,14000,People,416,365,392,377,247,342,305,353,364,1134,378,10.2,6.4,-3.4,-4,2442.9,2178.6,2521.4,2971.4,2607.1,2800,2692.9,2600,2700
Armour Square,34,14000,Property,592,689,589,655,556,570,447,490,781,1933,644.3,14.9,37,19.2,21,4071.4,3192.9,3500,4228.6,4921.4,4207.1,4678.6,5578.6,4602.1
Armour Square,34,14000,Society,145,94,124,127,70,114,97,85,105,345,115,11.4,-7.9,-17.3,-9,814.3,692.9,607.1,1035.7,671.4,885.7,907.1,750,821.4
Norwood Park,10,38000,People,323,331,304,273,200,314,213,299,277,908,302.7,-13.1,-11.8,1.5,-8,826.3,560.5,786.8,850,871.1,800,718.4,728.9,796.6
Norwood Park,10,38000,Property,791,749,807,689,404,684,702,740,592,2245,748.3,0.7,-13.5,-14.1,-21,1800,1847.4,1947.4,2081.6,1971.1,2123.7,1813.2,1557.9,1969.2
Norwood Park,10,38000,Society,165,204,158,170,110,167,119,160,161,532,177.3,1.8,-3.6,-5.3,-9,439.5,313.2,421.1,434.2,536.8,415.8,447.4,423.7,466.6
Near North Side,8,105000,People,2666,2773,2820,2695,1740,2847,1721,2372,2494,8288,2762.7,-5.3,-12.4,-7.5,-10,2711.4,1639,2259,2539,2641,2685.7,2566.7,2375.2,2631.1
Near North Side,8,105000,Property,6834,7078,7194,7265,4710,8606,4712,4931,7035,21537,7179,-15.6,-18.3,-3.2,-2,8196.2,4487.6,4696.2,6508.6,6741,6851.4,6919,6700,6837.1
Near North Side,8,105000,Society,1155,1348,1427,1208,734,1146,874,1072,1090,3983,1327.7,5.4,-4.9,-9.8,-18,1091.4,832.4,1021,1100,1283.8,1359,1150.5,1038.1,1264.5
Loop,32,42000,People,1936,2084,2073,1958,1322,1893,1211,1538,1940,6115,2038.3,3.4,2.5,-0.9,-5,4507.1,2883.3,3661.9,4609.5,4961.9,4935.7,4661.9,4619,4853.1
Loop,32,42000,Property,5379,5752,5985,5283,3508,7799,3260,3438,5126,17020,5673.3,-32.3,-34.3,-3,-10,18569,7761.9,8185.7,12807.1,13695.2,14250,12578.6,12204.8,13507.9
Loop,32,42000,Society,753,974,1272,1343,675,912,642,617,1062,3589,1196.3,47.3,16.4,-20.9,-11,2171.4,1528.6,1469,1792.9,2319,3028.6,3197.6,2528.6,2848.3
South Shore,43,54000,People,3058,3167,3363,3177,2183,3310,3170,3174,3091,9707,3235.7,-4,-6.6,-2.7,-4,6129.6,5870.4,5877.8,5663,5864.8,6227.8,5883.3,5724.1,5992
South Shore,43,54000,Property,4162,4486,3967,3758,2698,3659,3434,3167,3826,12211,4070.3,2.7,4.6,1.8,-6,6775.9,6359.3,5864.8,7707.4,8307.4,7346.3,6959.3,7085.2,7537.6
South Shore,43,54000,Society,1120,1140,1198,1191,875,1724,1217,1110,1255,3529,1176.3,-30.9,-27.2,5.4,7,3192.6,2253.7,2055.6,2074.1,2111.1,2218.5,2205.6,2324.1,2178.3
Chatham,44,32000,People,2135,2259,2216,1891,1362,2482,2071,2087,1949,6366,2122,-23.8,-21.5,3.1,-8,7756.3,6471.9,6521.9,6671.9,7059.4,6925,5909.4,6090.6,6631.2
Chatham,44,32000,Property,3189,3184,2747,2657,1575,3064,2453,2479,2352,8588,2862.7,-13.3,-23.2,-11.5,-18,9575,7665.6,7746.9,9965.6,9950,8584.4,8303.1,7350,8945.9
Chatham,44,32000,Society,769,948,903,818,565,1262,932,792,802,2669,889.7,-35.2,-36.5,-2,-10,3943.8,2912.5,2475,2403.1,2962.5,2821.9,2556.2,2506.2,2780.3
Avalon Park,45,9000,People,360,402,385,360,267,434,390,432,380,1147,382.3,-17.1,-12.4,5.6,-1,4822.2,4333.3,4800,4000,4466.7,4277.8,4000,4222.2,4247.8
Avalon Park,45,9000,Property,635,640,584,559,378,539,559,465,552,1783,594.3,3.7,2.4,-1.3,-7,5988.9,6211.1,5166.7,7055.6,7111.1,6488.9,6211.1,6133.3,6603.3
Avalon Park,45,9000,Society,185,157,159,137,91,333,255,228,128,453,151,-58.9,-61.6,-6.6,-15,3700,2833.3,2533.3,2055.6,1744.4,1766.7,1522.2,1422.2,1677.8
South Chicago,46,27000,People,1657,1635,1532,1337,996,1614,1325,1544,1384,4504,1501.3,-17.2,-14.3,3.5,-8,5977.8,4907.4,5718.5,6137,6055.6,5674.1,4951.9,5125.9,5560.4
South Chicago,46,27000,Property,2071,2144,1785,1784,1159,1590,1467,1563,1641,5713,1904.3,12.2,3.2,-8,-14,5888.9,5433.3,5788.9,7670.4,7940.7,6611.1,6607.4,6077.8,7053
South Chicago,46,27000,Society,682,611,602,609,392,1061,615,576,594,1822,607.3,-42.6,-44,-2.5,-2,3929.6,2277.8,2133.3,2525.9,2263,2229.6,2255.6,2200,2249.3
Burnside,47,3000,People,106,97,106,96,61,133,115,141,81,299,99.7,-27.8,-39.1,-15.6,-19,4433.3,3833.3,4700,3533.3,3233.3,3533.3,3200,2700,3323.3
Burnside,47,3000,Property,193,173,130,119,93,133,164,143,122,422,140.7,-10.5,-8.3,2.5,-13,4433.3,5466.7,4766.7,6433.3,5766.7,4333.3,3966.7,4066.7,4690
Burnside,47,3000,Society,51,71,63,37,34,109,70,45,44,171,57,-66.1,-59.6,18.9,-23,3633.3,2333.3,1500,1700,2366.7,2100,1233.3,1466.7,1900
Mckinley Park,59,16000,People,289,319,302,255,199,197,239,248,278,876,292,29.4,41.1,9,-5,1231.2,1493.8,1550,1806.2,1993.8,1887.5,1593.8,1737.5,1825
Mckinley Park,59,16000,Property,466,551,613,556,400,498,398,363,593,1720,573.3,11.6,19.1,6.7,3,3112.5,2487.5,2268.8,2912.5,3443.8,3831.2,3475,3706.2,3583.1
Mckinley Park,59,16000,Society,117,100,110,131,79,134,116,102,121,341,113.7,-2.2,-9.7,-7.6,6,837.5,725,637.5,731.2,625,687.5,818.8,756.2,710.6
Lake View,6,103000,People,1390,1413,1532,1362,900,1380,886,1241,1300,4307,1435.7,-1.3,-5.8,-4.6,-9,1339.8,860.2,1204.9,1349.5,1371.8,1487.4,1322.3,1262.1,1393.9
Lake View,6,103000,Property,4005,4659,4754,4142,2866,4074,3035,3128,4114,13555,4518.3,1.7,1,-0.7,-9,3955.3,2946.6,3036.9,3888.3,4523.3,4615.5,4021.4,3994.2,4386.7
Lake View,6,103000,Society,482,497,546,520,388,537,382,396,534,1563,521,-3.2,-0.6,2.7,2,521.4,370.9,384.5,468,482.5,530.1,504.9,518.4,505.8
Calumet Heights,48,13000,People,405,490,415,411,279,446,412,496,393,1316,438.7,-7.8,-11.9,-4.4,-10,3430.8,3169.2,3815.4,3115.4,3769.2,3192.3,3161.5,3023.1,3374.6
Calumet Heights,48,13000,Property,733,868,740,773,448,655,658,600,649,2381,793.7,18,-0.9,-16,-18,5038.5,5061.5,4615.4,5638.5,6676.9,5692.3,5946.2,4992.3,6105.4
Calumet Heights,48,13000,Society,202,187,195,151,129,332,221,230,182,533,177.7,-54.5,-45.2,20.5,2,2553.8,1700,1769.2,1553.8,1438.5,1500,1161.5,1400,1366.9
Roseland,49,39000,People,2057,2137,1994,1858,1212,2305,2196,2071,1770,5989,1996.3,-19.4,-23.2,-4.7,-11,5910.3,5630.8,5310.3,5274.4,5479.5,5112.8,4764.1,4538.5,5118.7
Roseland,49,39000,Property,2897,2941,2632,2421,1500,2631,2683,2274,2233,7994,2664.7,-8,-15.1,-7.8,-16,6746.2,6879.5,5830.8,7428.2,7541,6748.7,6207.7,5725.6,6832.6
