community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Hermosa,20,24000,Burglary,52,57,37,28,21,43,45,41,76,109,36.3,-13.5,46.2,68.9,109,216.7,237.5,154.2,116.7,87.5,179.2,187.5,316.7,151.2
Avondale,21,36000,Burglary,122,94,68,92,71,88,143,94,206,302,100.7,17.2,68.9,44.1,105,338.9,261.1,188.9,255.6,197.2,244.4,397.2,572.2,279.7
Logan Square,22,72000,Burglary,263,195,180,191,205,271,296,164,417,772,257.3,12.5,58.6,40.9,62,365.3,270.8,250,265.3,284.7,376.4,411.1,579.2,357.4
Humboldt Park,23,54000,Burglary,247,222,236,157,134,203,177,74,214,514,171.3,-28.3,-13.4,20.9,25,457.4,411.1,437,290.7,248.1,375.9,327.8,396.3,317.2
West Town,24,88000,Burglary,383,296,253,310,341,467,529,212,644,1337,445.7,38.1,68.1,21.7,44,435.2,336.4,287.5,352.3,387.5,530.7,601.1,731.8,506.5
Austin,25,97000,Burglary,415,402,317,271,252,327,371,139,432,950,316.7,-10.6,4.1,16.4,36,427.8,414.4,326.8,279.4,259.8,337.1,382.5,445.4,326.5
West Garfield Park,26,17000,Burglary,112,106,69,77,62,71,78,25,87,211,70.3,-30.4,-22.3,11.5,24,658.8,623.5,405.9,452.9,364.7,417.6,458.8,511.8,413.5
East Garfield Park,27,20000,Burglary,116,100,77,95,78,103,95,30,104,276,92,-18.1,-10.3,9.5,13,580,500,385,475,390,515,475,520,460
Near West Side,28,68000,Burglary,209,240,129,191,242,341,481,200,586,1064,354.7,130.1,180.4,21.8,65,307.4,352.9,189.7,280.9,355.9,501.5,707.4,861.8,521.6
North Lawndale,29,35000,Burglary,204,158,137,104,124,131,117,32,121,372,124,-42.6,-40.7,3.4,-2,582.9,451.4,391.4,297.1,354.3,374.3,334.3,345.7,354.3
Uptown,3,57000,Burglary,110,113,98,131,163,177,211,74,225,551,183.7,91.8,104.5,6.6,22,193,198.2,171.9,229.8,286,310.5,370.2,394.7,322.3
South Lawndale,30,71000,Burglary,136,116,71,82,81,61,104,28,102,246,82,-23.5,-25,-1.9,24,191.5,163.4,100,115.5,114.1,85.9,146.5,143.7,115.5
Lower West Side,31,34000,Burglary,84,52,83,91,72,94,135,43,151,301,100.3,60.7,79.8,11.9,51,247.1,152.9,244.1,267.6,211.8,276.5,397.1,444.1,295
Near South Side,33,29000,Burglary,40,49,37,44,67,82,97,33,99,246,82,142.5,147.5,2.1,21,137.9,169,127.6,151.7,231,282.8,334.5,341.4,282.8
Armour Square,34,14000,Burglary,25,34,50,37,39,37,50,36,70,126,42,100,180,40,67,178.6,242.9,357.1,264.3,278.6,264.3,357.1,500,300
Norwood Park,10,38000,Burglary,57,44,51,70,51,66,98,56,125,215,71.7,71.9,119.3,27.6,74,150,115.8,134.2,184.2,134.2,173.7,257.9,328.9,188.7
Near North Side,8,105000,Burglary,166,444,151,152,198,238,287,109,353,723,241,72.9,112.7,23,46,158.1,422.9,143.8,144.8,188.6,226.7,273.3,336.2,229.5
Loop,32,42000,Burglary,82,272,51,84,106,125,187,85,224,418,139.3,128,173.2,19.8,61,195.2,647.6,121.4,200,252.4,297.6,445.2,533.3,331.7
South Shore,43,54000,Burglary,512,428,255,378,316,439,360,113,389,1115,371.7,-29.7,-24,8.1,5,948.1,792.6,472.2,700,585.2,813,666.7,720.4,688.3
Chatham,44,32000,Burglary,281,318,175,235,208,209,241,43,223,658,219.3,-14.2,-20.6,-7.5,2,878.1,993.8,546.9,734.4,650,653.1,753.1,696.9,685.3
Avalon Park,45,9000,Burglary,57,51,39,46,48,48,57,5,51,153,51,0,-10.5,-10.5,0,633.3,566.7,433.3,511.1,533.3,533.3,633.3,566.7,566.7
South Chicago,46,27000,Burglary,167,157,125,131,99,132,166,29,161,397,132.3,-0.6,-3.6,-3,22,618.5,581.5,463,485.2,366.7,488.9,614.8,596.3,490
Burnside,47,3000,Burglary,20,12,6,22,8,9,9,2,10,26,8.7,-55,-50,11.1,15,666.7,400,200,733.3,266.7,300,300,333.3,290
Mckinley Park,59,16000,Burglary,51,27,26,33,46,50,53,14,56,149,49.7,3.9,9.8,5.7,13,318.8,168.8,162.5,206.2,287.5,312.5,331.2,350,310.6
Lake View,6,103000,Burglary,237,201,194,203,226,299,321,171,406,846,282,35.4,71.3,26.5,44,230.1,195.1,188.3,197.1,219.4,290.3,311.7,394.2,273.8
Calumet Heights,48,13000,Burglary,41,54,35,49,54,57,51,14,60,162,54,24.4,46.3,17.6,11,315.4,415.4,269.2,376.9,415.4,438.5,392.3,461.5,415.4
Roseland,49,39000,Burglary,226,274,206,192,170,158,169,31,162,497,165.7,-25.2,-28.3,-4.1,-2,579.5,702.6,528.2,492.3,435.9,405.1,433.3,415.4,424.9
North Center,5,35000,Burglary,85,84,59,73,103,105,95,37,114,303,101,11.8,34.1,20,13,242.9,240,168.6,208.6,294.3,300,271.4,325.7,288.6
Pullman,50,7000,Burglary,45,33,34,31,15,27,23,9,31,65,21.7,-48.9,-31.1,34.8,43,642.9,471.4,485.7,442.9,214.3,385.7,328.6,442.9,310
South Deering,51,14000,Burglary,56,56,39,40,49,44,54,11,59,147,49,-3.6,5.4,9.3,20,400,400,278.6,285.7,350,314.3,385.7,421.4,350
East Side,52,22000,Burglary,31,26,30,35,33,52,44,12,48,129,43,41.9,54.8,9.1,12,140.9,118.2,136.4,159.1,150,236.4,200,218.2,195.5
West Pullman,53,26000,Burglary,181,314,258,159,82,108,165,42,179,355,118.3,-8.8,-1.1,8.5,51,696.2,1207.7,992.3,611.5,315.4,415.4,634.6,688.5,455
Riverdale,54,7000,Burglary,40,26,28,38,30,18,21,15,32,69,23,-47.5,-20,52.4,39,571.4,371.4,400,542.9,428.6,257.1,300,457.1,328.6
Hegewisch,55,10000,Burglary,25,16,20,15,18,23,26,8,29,67,22.3,4,16,11.5,30,250,160,200,150,180,230,260,290,223
Garfield Ridge,56,35000,Burglary,98,66,40,70,66,75,77,16,80,218,72.7,-21.4,-18.4,3.9,10,280,188.6,114.3,200,188.6,214.3,220,228.6,207.7
Archer Heights,57,14000,Burglary,47,22,22,44,32,47,42,10,42,121,40.3,-10.6,-10.6,0,4,335.7,157.1,157.1,314.3,228.6,335.7,300,300,287.9
Brighton Park,58,45000,Burglary,116,55,57,72,56,76,95,44,123,227,75.7,-18.1,6,29.5,62,257.8,122.2,126.7,160,124.4,168.9,211.1,273.3,168.2
Bridgeport,60,34000,Burglary,94,57,68,96,91,78,86,47,117,255,85,-8.5,24.5,36,38,276.5,167.6,200,282.4,267.6,229.4,252.9,344.1,250
New City,61,44000,Burglary,160,115,97,109,113,132,148,38,146,393,131,-7.5,-8.8,-1.4,11,363.6,261.4,220.5,247.7,256.8,300,336.4,331.8,297.7
West Elsdon,62,18000,Burglary,72,34,52,31,46,45,40,10,39,131,43.7,-44.4,-45.8,-2.5,-11,400,188.9,288.9,172.2,255.6,250,222.2,216.7,242.8
Gage Park,63,40000,Burglary,124,66,50,69,76,64,74,15,72,214,71.3,-40.3,-41.9,-2.7,1,310,165,125,172.5,190,160,185,180,178.2
Clearing,64,24000,Burglary,58,38,27,52,42,46,45,8,43,133,44.3,-22.4,-25.9,-4.4,-3,241.7,158.3,112.5,216.7,175,191.7,187.5,179.2,184.6
West Lawn,65,34000,Burglary,92,48,56,66,99,71,65,28,73,235,78.3,-29.3,-20.7,12.3,-7,270.6,141.2,164.7,194.1,291.2,208.8,191.2,214.7,230.3
Chicago Lawn,66,56000,Burglary,301,255,186,194,149,121,146,48,142,416,138.7,-51.5,-52.8,-2.7,2,537.5,455.4,332.1,346.4,266.1,216.1,260.7,253.6,247.7
West Englewood,67,30000,Burglary,269,199,154,145,110,94,107,30,117,311,103.7,-60.2,-56.5,9.3,13,896.7,663.3,513.3,483.3,366.7,313.3,356.7,390,345.7
Englewood,68,24000,Burglary,232,153,115,125,140,113,152,20,139,405,135,-34.5,-40.1,-8.6,3,966.7,637.5,479.2,520.8,583.3,470.8,633.3,579.2,562.5
Greater Grand Crossing,69,31000,Burglary,277,244,189,214,219,245,216,49,234,680,226.7,-22,-15.5,8.3,3,893.5,787.1,609.7,690.3,706.5,790.3,696.8,754.8,731.3
Lincoln Park,7,70000,Burglary,205,167,125,187,203,261,281,80,287,745,248.3,37.1,40,2.1,16,292.9,238.6,178.6,267.1,290,372.9,401.4,410,354.7
Ashburn,70,41000,Burglary,146,88,93,78,73,93,73,13,58,239,79.7,-50,-60.3,-20.5,-27,356.1,214.6,226.8,190.2,178,226.8,178,141.5,194.4
Auburn Gresham,71,45000,Burglary,306,254,223,254,225,212,239,43,227,676,225.3,-21.9,-25.8,-5,1,680,564.4,495.6,564.4,500,471.1,531.1,504.4,500.7
Beverly,72,20000,Burglary,80,42,47,51,56,29,44,12,40,129,43,-45,-50,-9.1,-7,400,210,235,255,280,145,220,200,215
Washington Heights,73,25000,Burglary,133,114,72,119,69,84,107,26,110,260,86.7,-19.5,-17.3,2.8,27,532,456,288,476,276,336,428,440,346.8
Mount Greenwood,74,19000,Burglary,27,13,7,22,11,8,20,4,23,39,13,-25.9,-14.8,15,77,142.1,68.4,36.8,115.8,57.9,42.1,105.3,121.1,68.4
Morgan Park,75,21000,Burglary,73,87,57,53,48,45,55,14,60,148,49.3,-24.7,-17.8,9.1,22,347.6,414.3,271.4,252.4,228.6,214.3,261.9,285.7,234.8
Ohare,76,13000,Burglary,12,6,23,14,13,16,28,12,36,57,19,133.3,200,28.6,89,92.3,46.2,176.9,107.7,100,123.1,215.4,276.9,146.2
Edgewater,77,56000,Burglary,96,100,104,96,147,138,172,31,143,457,152.3,79.2,49,-16.9,-6,171.4,178.6,185.7,171.4,262.5,246.4,307.1,255.4,272
Edison Park,9,12000,Burglary,7,11,9,26,14,8,32,5,21,54,18,357.1,200,-34.4,17,58.3,91.7,75,216.7,116.7,66.7,266.7,175,150
NA,Unknown,NA,Burglary,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
