community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,last12mos,total_prior3years,avg_prior3years,inc_19to23,inc_19tolast12,inc_23tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate_last12,rate_prior3years
Dunning,17,43000,Criminal Sexual Assault,6,8,12,8,15,9,1,9,35,11.7,150,50,-40,-23,14,18.6,27.9,18.6,34.9,20.9,20.9,27.2
Montclare,18,14000,Criminal Sexual Assault,4,6,2,4,1,4,0,3,7,2.3,-75,-25,200,30,28.6,42.9,14.3,28.6,7.1,28.6,21.4,16.4
Belmont Cragin,19,78000,Criminal Sexual Assault,38,27,30,36,31,29,1,25,97,32.3,-18.4,-34.2,-19.4,-23,48.7,34.6,38.5,46.2,39.7,37.2,32.1,41.4
West Ridge,2,77000,Criminal Sexual Assault,30,15,28,21,22,25,5,29,71,23.7,-26.7,-3.3,31.8,22,39,19.5,36.4,27.3,28.6,32.5,37.7,30.8
Hermosa,20,24000,Criminal Sexual Assault,10,12,10,14,12,12,0,9,36,12,20,-10,-25,-25,41.7,50,41.7,58.3,50,50,37.5,50
Avondale,21,36000,Criminal Sexual Assault,15,9,16,7,8,11,1,11,31,10.3,-46.7,-26.7,37.5,7,41.7,25,44.4,19.4,22.2,30.6,30.6,28.6
Logan Square,22,72000,Criminal Sexual Assault,36,17,31,29,21,24,8,31,81,27,-41.7,-13.9,47.6,15,50,23.6,43.1,40.3,29.2,33.3,43.1,37.5
Humboldt Park,23,54000,Criminal Sexual Assault,61,44,37,49,41,39,4,38,127,42.3,-32.8,-37.7,-7.3,-10,113,81.5,68.5,90.7,75.9,72.2,70.4,78.3
West Town,24,88000,Criminal Sexual Assault,49,31,44,35,44,29,5,29,123,41,-10.2,-40.8,-34.1,-29,55.7,35.2,50,39.8,50,33,33,46.6
Austin,25,97000,Criminal Sexual Assault,115,99,88,101,104,107,15,105,293,97.7,-9.6,-8.7,1,7,118.6,102.1,90.7,104.1,107.2,110.3,108.2,100.7
West Garfield Park,26,17000,Criminal Sexual Assault,41,36,30,28,24,23,2,20,82,27.3,-41.5,-51.2,-16.7,-27,241.2,211.8,176.5,164.7,141.2,135.3,117.6,160.6
East Garfield Park,27,20000,Criminal Sexual Assault,21,23,34,28,33,34,4,33,95,31.7,57.1,57.1,0,4,105,115,170,140,165,170,165,158.5
Near West Side,28,68000,Criminal Sexual Assault,63,33,45,57,75,81,9,75,177,59,19,19,0,27,92.6,48.5,66.2,83.8,110.3,119.1,110.3,86.8
North Lawndale,29,35000,Criminal Sexual Assault,45,48,52,57,74,62,12,63,183,61,64.4,40,-14.9,3,128.6,137.1,148.6,162.9,211.4,177.1,180,174.3
Uptown,3,57000,Criminal Sexual Assault,37,29,36,47,45,49,7,46,128,42.7,21.6,24.3,2.2,8,64.9,50.9,63.2,82.5,78.9,86,80.7,74.9
South Lawndale,30,71000,Criminal Sexual Assault,39,33,31,42,28,39,5,39,101,33.7,-28.2,0,39.3,16,54.9,46.5,43.7,59.2,39.4,54.9,54.9,47.5
Lower West Side,31,34000,Criminal Sexual Assault,21,10,24,14,18,11,2,11,56,18.7,-14.3,-47.6,-38.9,-41,61.8,29.4,70.6,41.2,52.9,32.4,32.4,55
Near South Side,33,29000,Criminal Sexual Assault,9,18,15,17,22,20,4,19,54,18,144.4,111.1,-13.6,6,31,62.1,51.7,58.6,75.9,69,65.5,62.1
Armour Square,34,14000,Criminal Sexual Assault,3,2,4,6,4,3,0,3,14,4.7,33.3,0,-25,-36,21.4,14.3,28.6,42.9,28.6,21.4,21.4,33.6
Norwood Park,10,38000,Criminal Sexual Assault,11,3,6,9,10,9,1,7,25,8.3,-9.1,-36.4,-30,-16,28.9,7.9,15.8,23.7,26.3,23.7,18.4,21.8
Near North Side,8,105000,Criminal Sexual Assault,90,79,133,148,151,123,28,127,432,144,67.8,41.1,-15.9,-12,85.7,75.2,126.7,141,143.8,117.1,121,137.1
Loop,32,42000,Criminal Sexual Assault,33,26,53,37,58,44,3,41,148,49.3,75.8,24.2,-29.3,-17,78.6,61.9,126.2,88.1,138.1,104.8,97.6,117.4
South Shore,43,54000,Criminal Sexual Assault,78,51,71,58,74,63,10,61,203,67.7,-5.1,-21.8,-17.6,-10,144.4,94.4,131.5,107.4,137,116.7,113,125.4
Chatham,44,32000,Criminal Sexual Assault,38,29,39,28,48,34,6,35,115,38.3,26.3,-7.9,-27.1,-9,118.8,90.6,121.9,87.5,150,106.3,109.4,119.7
Avalon Park,45,9000,Criminal Sexual Assault,7,10,9,2,9,9,1,9,20,6.7,28.6,28.6,0,34,77.8,111.1,100,22.2,100,100,100,74.4
South Chicago,46,27000,Criminal Sexual Assault,31,28,36,35,26,27,1,23,97,32.3,-16.1,-25.8,-11.5,-29,114.8,103.7,133.3,129.6,96.3,100,85.2,119.6
Burnside,47,3000,Criminal Sexual Assault,1,1,3,5,3,3,2,5,11,3.7,200,400,66.7,35,33.3,33.3,100,166.7,100,100,166.7,123.3
Mckinley Park,59,16000,Criminal Sexual Assault,4,6,6,7,9,7,1,8,22,7.3,125,100,-11.1,10,25,37.5,37.5,43.8,56.2,43.8,50,45.6
Lake View,6,103000,Criminal Sexual Assault,62,33,50,62,57,65,14,70,169,56.3,-8.1,12.9,22.8,24,60.2,32,48.5,60.2,55.3,63.1,68,54.7
Calumet Heights,48,13000,Criminal Sexual Assault,10,8,13,6,13,17,0,11,32,10.7,30,10,-15.4,3,76.9,61.5,100,46.2,100,130.8,84.6,82.3
Roseland,49,39000,Criminal Sexual Assault,44,37,40,44,45,41,7,39,129,43,2.3,-11.4,-13.3,-9,112.8,94.9,102.6,112.8,115.4,105.1,100,110.3
North Center,5,35000,Criminal Sexual Assault,6,7,7,9,8,2,1,3,24,8,33.3,-50,-62.5,-62,17.1,20,20,25.7,22.9,5.7,8.6,22.9
Pullman,50,7000,Criminal Sexual Assault,10,1,4,7,5,7,1,5,16,5.3,-50,-50,0,-6,142.9,14.3,57.1,100,71.4,100,71.4,75.7
South Deering,51,14000,Criminal Sexual Assault,9,4,11,6,8,11,1,10,25,8.3,-11.1,11.1,25,20,64.3,28.6,78.6,42.9,57.1,78.6,71.4,59.3
East Side,52,22000,Criminal Sexual Assault,2,3,9,4,10,10,0,8,23,7.7,400,300,-20,4,9.1,13.6,40.9,18.2,45.5,45.5,36.4,35
West Pullman,53,26000,Criminal Sexual Assault,27,27,21,18,20,19,3,18,59,19.7,-25.9,-33.3,-10,-9,103.8,103.8,80.8,69.2,76.9,73.1,69.2,75.8
Riverdale,54,7000,Criminal Sexual Assault,7,8,7,7,20,12,2,14,34,11.3,185.7,100,-30,24,100,114.3,100,100,285.7,171.4,200,161.4
Hegewisch,55,10000,Criminal Sexual Assault,2,7,1,3,6,3,0,3,10,3.3,200,50,-50,-9,20,70,10,30,60,30,30,33
Garfield Ridge,56,35000,Criminal Sexual Assault,14,7,7,12,7,7,2,6,26,8.7,-50,-57.1,-14.3,-31,40,20,20,34.3,20,20,17.1,24.9
Archer Heights,57,14000,Criminal Sexual Assault,12,11,3,3,4,5,0,5,10,3.3,-66.7,-58.3,25,52,85.7,78.6,21.4,21.4,28.6,35.7,35.7,23.6
Brighton Park,58,45000,Criminal Sexual Assault,20,14,15,17,15,16,0,12,47,15.7,-25,-40,-20,-24,44.4,31.1,33.3,37.8,33.3,35.6,26.7,34.9
Bridgeport,60,34000,Criminal Sexual Assault,14,8,10,8,10,5,2,6,28,9.3,-28.6,-57.1,-40,-35,41.2,23.5,29.4,23.5,29.4,14.7,17.6,27.4
New City,61,44000,Criminal Sexual Assault,38,30,22,31,30,30,2,31,83,27.7,-21.1,-18.4,3.3,12,86.4,68.2,50,70.5,68.2,68.2,70.5,63
West Elsdon,62,18000,Criminal Sexual Assault,6,1,2,9,4,5,0,4,15,5,-33.3,-33.3,0,-20,33.3,5.6,11.1,50,22.2,27.8,22.2,27.8
Gage Park,63,40000,Criminal Sexual Assault,19,15,14,19,17,11,3,13,50,16.7,-10.5,-31.6,-23.5,-22,47.5,37.5,35,47.5,42.5,27.5,32.5,41.7
Clearing,64,24000,Criminal Sexual Assault,9,8,2,4,3,3,1,2,9,3,-66.7,-77.8,-33.3,-33,37.5,33.3,8.3,16.7,12.5,12.5,8.3,12.5
West Lawn,65,34000,Criminal Sexual Assault,15,10,12,11,10,10,1,10,33,11,-33.3,-33.3,0,-9,44.1,29.4,35.3,32.4,29.4,29.4,29.4,32.4
Chicago Lawn,66,56000,Criminal Sexual Assault,50,29,39,48,53,33,6,35,140,46.7,6,-30,-34,-25,89.3,51.8,69.6,85.7,94.6,58.9,62.5,83.4
West Englewood,67,30000,Criminal Sexual Assault,41,44,39,39,40,31,2,29,118,39.3,-2.4,-29.3,-27.5,-26,136.7,146.7,130,130,133.3,103.3,96.7,131
Englewood,68,24000,Criminal Sexual Assault,49,31,35,51,45,42,4,36,131,43.7,-8.2,-26.5,-20,-18,204.2,129.2,145.8,212.5,187.5,175,150,182.1
Greater Grand Crossing,69,31000,Criminal Sexual Assault,61,45,37,49,37,40,5,38,123,41,-39.3,-37.7,2.7,-7,196.8,145.2,119.4,158.1,119.4,129,122.6,132.3
Lincoln Park,7,70000,Criminal Sexual Assault,21,8,26,25,19,18,5,20,70,23.3,-9.5,-4.8,5.3,-14,30,11.4,37.1,35.7,27.1,25.7,28.6,33.3
Ashburn,70,41000,Criminal Sexual Assault,13,21,10,14,20,12,0,11,44,14.7,53.8,-15.4,-45,-25,31.7,51.2,24.4,34.1,48.8,29.3,26.8,35.9
Auburn Gresham,71,45000,Criminal Sexual Assault,57,47,37,47,36,30,7,32,120,40,-36.8,-43.9,-11.1,-20,126.7,104.4,82.2,104.4,80,66.7,71.1,88.9
Beverly,72,20000,Criminal Sexual Assault,2,4,4,5,3,5,1,6,12,4,50,200,100,50,10,20,20,25,15,25,30,20
Washington Heights,73,25000,Criminal Sexual Assault,19,22,17,16,12,19,2,19,45,15,-36.8,0,58.3,27,76,88,68,64,48,76,76,60
Mount Greenwood,74,19000,Criminal Sexual Assault,4,2,2,4,7,7,1,7,13,4.3,75,75,0,63,21.1,10.5,10.5,21.1,36.8,36.8,36.8,22.6
Morgan Park,75,21000,Criminal Sexual Assault,9,5,10,5,11,14,0,6,26,8.7,22.2,-33.3,-45.5,-31,42.9,23.8,47.6,23.8,52.4,66.7,28.6,41.4
Ohare,76,13000,Criminal Sexual Assault,5,2,9,10,5,8,0,5,24,8,0,0,0,-38,38.5,15.4,69.2,76.9,38.5,61.5,38.5,61.5
Edgewater,77,56000,Criminal Sexual Assault,24,19,26,34,26,34,5,34,86,28.7,8.3,41.7,30.8,18,42.9,33.9,46.4,60.7,46.4,60.7,60.7,51.2
Edison Park,9,12000,Criminal Sexual Assault,3,2,2,4,2,0,0,0,8,2.7,-33.3,-100,-100,-100,25,16.7,16.7,33.3,16.7,0,0,22.5
NA,Unknown,NA,Criminal Sexual Assault,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
